method,epsilon,cosine_similarity
fgsm,0.001,0.7670734614497569
fgsm,0.001,0.3742272630794494
fgsm,0.001,0.9482083603205792
fgsm,0.001,0.8877437379283831
fgsm,0.001,0.8056949021129285
fgsm,0.001,0.9323848485946655
fgsm,0.001,0.8648620167292382
fgsm,0.001,0.8305452117486365
fgsm,0.001,0.7377739172510484
fgsm,0.001,0.837585201119496
fgsm,0.001,0.1894891858100891
fgsm,0.001,0.8086465838148176
fgsm,0.001,0.5312863905004506
fgsm,0.001,0.7083465456962585
fgsm,0.001,0.9150247573852539
fgsm,0.001,0.7470167351082059
fgsm,0.001,0.5940184593200684
fgsm,0.001,0.7663571834564209
fgsm,0.001,0.9237698271137389
fgsm,0.001,0.9223032547416259
fgsm,0.001,0.7665499309629175
fgsm,0.001,0.7420455371114305
fgsm,0.001,0.8677453061266338
fgsm,0.001,0.8010911226922957
fgsm,0.001,0.6832397594964317
fgsm,0.001,0.732332706451416
fgsm,0.001,0.7144371867179871
fgsm,0.001,0.7582194353211276
fgsm,0.001,0.9409675598144531
fgsm,0.001,0.9834326798746793
fgsm,0.001,0.8654918074607849
fgsm,0.001,0.8405605554580688
fgsm,0.001,0.9512787461280823
fgsm,0.001,0.8508672967811617
fgsm,0.001,0.38987934589385986
fgsm,0.001,0.7873315341871077
fgsm,0.001,0.6912723779678345
fgsm,0.001,0.9239108562469482
fgsm,0.001,0.25645846128463745
fgsm,0.001,0.9557510614395142
fgsm,0.001,0.7825765609741211
fgsm,0.001,0.8600823879241943
fgsm,0.001,0.7793234253736283
fgsm,0.001,0.7524611501418872
fgsm,0.001,0.8981029987335205
fgsm,0.001,0.9739278233582854
fgsm,0.001,0.7004960179328918
fgsm,0.001,0.7985616326332092
fgsm,0.001,0.9009877115782418
fgsm,0.001,0.7973490357398987
fgsm,0.001,0.8247981563090194
fgsm,0.001,0.6701502400547135
fgsm,0.001,0.9164184605007909
fgsm,0.001,0.7346329689025879
fgsm,0.001,0.6668857932090759
fgsm,0.001,0.6947907209396362
fgsm,0.001,0.8221302734535784
fgsm,0.001,0.8858226137598741
fgsm,0.001,0.9474268586977225
fgsm,0.001,0.7432393874668723
fgsm,0.001,0.8247495889663696
fgsm,0.001,0.8919458453687538
fgsm,0.001,0.3646383285522461
fgsm,0.001,0.8855076432228088
fgsm,0.001,0.7347694635391235
fgsm,0.001,0.8045334336439723
fgsm,0.001,0.38335131009205736
fgsm,0.001,0.8153847566017668
fgsm,0.001,0.9173922538757324
fgsm,0.001,0.2777150273323059
fgsm,0.001,0.9006751775741577
fgsm,0.001,0.8634253144264221
fgsm,0.001,0.9429951276180241
fgsm,0.001,0.8208898305892944
fgsm,0.001,0.8142697325784142
fgsm,0.001,0.5031532049179077
fgsm,0.001,0.5404893320944708
fgsm,0.001,0.9085746353015103
fgsm,0.001,0.8529521481082487
fgsm,0.001,0.860751535318838
fgsm,0.001,0.8649857044219971
fgsm,0.001,0.6160377631209959
fgsm,0.001,0.8692912381464997
fgsm,0.001,0.7944761751436051
fgsm,0.001,0.9504325673113042
fgsm,0.001,0.9647426605224609
fgsm,0.001,0.4807751906611215
fgsm,0.001,0.9459942047602954
fgsm,0.001,0.8450855520418631
fgsm,0.001,0.7114306688308716
fgsm,0.001,0.9576469659805298
fgsm,0.001,0.9050242844238466
fgsm,0.001,0.8606631755828857
fgsm,0.001,0.7613558769226074
fgsm,0.001,0.8447712223027283
fgsm,0.001,0.6322532076986567
fgsm,0.001,0.8616948127746582
fgsm,0.001,0.763779662960162
fgsm,0.001,0.9818161747674804
fgsm,0.001,0.7644189227944295
fgsm,0.001,0.8237737908228526
fgsm,0.001,0.8058565855026245
fgsm,0.001,0.8175580122997804
fgsm,0.001,0.9304099956277015
fgsm,0.001,0.705117004804791
fgsm,0.001,0.8544757620834045
